label,label,nuclei_area,nuclei_i,nuclei_j,nuclei_bounds,foci_count,foci_area,nucleus_number_neighbors_1,nucleus_percent_touching_1,nucleus_first_neighbor_distance,nucleus_second_neighbor_distance,nucleus_angle_between_neighbors
90,90,1934.0,665.8154084798346,245.78386763185108,"(635, 225, 696, 265)",0,0,1,0.08374384236453201,50.731351278903105,83.2894597617705,91.7742910247563
91,91,2672.0,667.6639221556886,981.4285179640718,"(644, 950, 698, 1018)",9,128,0,0.0,87.28040900844611,103.63538156063582,43.64031233284817
92,92,1432.0,674.0551675977654,683.9162011173185,"(653, 661, 695, 707)",0,0,0,0.0,92.05678670924289,99.19436163787957,54.39910855058613
93,93,1569.0,675.7023581899299,400.5156150414277,"(657, 375, 698, 431)",1,17,1,0.164021164021164,40.96638414861655,77.48121656776807,108.20270058191326
94,94,997.0,677.9237713139419,496.4643931795386,"(660, 480, 698, 512)",0,0,0,0.0,66.39321258654132,69.80621624000757,50.5434648267025
95,95,1142.0,700.2031523642733,559.007880910683,"(680, 539, 719, 580)",0,0,0,0.0,58.22699397562443,66.39321258654132,67.76668820973647
96,96,1376.0,715.3633720930233,390.25654069767444,"(693, 371, 741, 414)",1,10,1,0.17777777777777778,40.96638414861655,79.73319342361094,159.0005107304153
97,97,1933.0,726.4604242110709,302.87428867046043,"(702, 272, 749, 332)",0,0,0,0.0,72.83306041296665,83.2894597617705,153.31734619195387
98,98,2215.0,733.3620767494357,1167.2948081264108,"(702, 1146, 768, 1189)",0,0,0,0.0,106.2673640117131,116.9745537607473,101.72569148184112
99,99,2547.0,743.0212014134275,875.5119748723989,"(712, 852, 777, 900)",1,17,0,0.0,93.68365867506746,129.98859041323223,167.17884725904707
100,100,1623.0,750.1515711645102,735.7215033887862,"(730, 712, 773, 760)",0,0,0,0.0,60.63062821756734,87.49105011940718,102.70225135314871
101,101,2236.0,767.1766547406082,649.7415026833631,"(741, 623, 792, 682)",2,18,0,0.0,56.50617318324587,87.64938101365964,71.0258464983035
102,102,2025.0,767.6345679012346,455.6592592592593,"(743, 430, 794, 482)",1,20,0,0.0,62.491115986467136,83.7245095922708,64.18017432605326
103,103,2038.0,779.0382728164867,789.0284592737978,"(752, 766, 807, 815)",2,13,0,0.0,60.63062821756734,81.44438605256751,82.94519631633119
104,104,1881.0,789.377990430622,1257.5996810207337,"(760, 1237, 819, 1282)",0,0,0,0.0,106.2673640117131,173.28658602496387,41.372248406856386
105,105,1796.0,792.869153674833,1048.1113585746102,"(770, 1024, 817, 1074)",9,113,1,0.1736842105263158,46.15509489845706,133.21331334094103,59.75996778011535
106,106,1514.0,794.5845442536328,399.278071334214,"(772, 377, 820, 425)",0,0,0,0.0,62.491115986467136,75.62941562607978,155.72356643565175
107,107,1662.0,796.2623345367027,323.6672683513839,"(773, 300, 819, 348)",1,4,0,0.0,72.00353918425893,72.83306041296665,119.20096652398867
108,108,1721.0,816.0261475886113,678.1435212085996,"(793, 655, 840, 703)",1,18,0,0.0,56.50617318324587,59.725525542923215,113.32441601361705
109,109,1894.0,818.1605068637804,1086.7201689545934,"(797, 1058, 841, 1116)",5,84,1,0.165,46.15509489845706,116.9745537607473,100.30944702044914
110,110,2113.0,831.0629436819688,1994.7292948414577,"(804, 1969, 857, 2023)",0,0,0,0.0,134.7216889924995,401.11805580865376,11.57984945941896
111,111,1644.0,845.3369829683699,741.7244525547445,"(818, 722, 875, 762)",0,0,0,0.0,70.01185543536536,81.44438605256751,100.75806603100996
112,112,1305.0,847.8727969348658,273.45900383141765,"(827, 251, 869, 297)",0,0,1,0.18023255813953487,42.2428100642425,72.00353918425893,128.75228084825966
113,113,1875.0,864.0362666666666,642.6165333333333,"(835, 622, 894, 664)",1,4,0,0.0,59.725525542923215,92.23235623144876,138.71108963099914
